downloaded,language,measure,uni_lemma,words,age,prop
2023-04-18,Cantonese,produces,EAT,"食, 食飯",16,0.05
2023-04-18,Cantonese,produces,EAT,"食, 食飯",17,0.2
2023-04-18,Cantonese,produces,EAT,"食, 食飯",18,0.29
2023-04-18,Cantonese,produces,EAT,"食, 食飯",19,0.27
2023-04-18,Cantonese,produces,EAT,"食, 食飯",20,0.49
2023-04-18,Cantonese,produces,EAT,"食, 食飯",21,0.55
2023-04-18,Cantonese,produces,EAT,"食, 食飯",22,0.53
2023-04-18,Cantonese,produces,EAT,"食, 食飯",23,0.62
2023-04-18,Cantonese,produces,EAT,"食, 食飯",24,0.65
2023-04-18,Cantonese,produces,EAT,"食, 食飯",25,0.84
2023-04-18,Cantonese,produces,EAT,"食, 食飯",26,0.84
2023-04-18,Cantonese,produces,EAT,"食, 食飯",27,0.91
2023-04-18,Cantonese,produces,EAT,"食, 食飯",28,0.92
2023-04-18,Cantonese,produces,EAT,"食, 食飯",29,0.95
2023-04-18,Cantonese,produces,EAT,"食, 食飯",30,0.95
2023-04-18,Croatian,produces,EAT,jesti,8,0
2023-04-18,Croatian,produces,EAT,jesti,9,0
2023-04-18,Croatian,produces,EAT,jesti,10,0.05
2023-04-18,Croatian,produces,EAT,jesti,11,0
2023-04-18,Croatian,produces,EAT,jesti,12,0
2023-04-18,Croatian,produces,EAT,jesti,13,0.03
2023-04-18,Croatian,produces,EAT,jesti,14,0.11
2023-04-18,Croatian,produces,EAT,jesti,15,0.04
2023-04-18,Croatian,produces,EAT,jesti,16,0.26
2023-04-18,Croatian,produces,EAT,jesti,17,0.2
2023-04-18,Croatian,produces,EAT,jesti,18,0.36
2023-04-18,Croatian,produces,EAT,jesti,19,0.48
2023-04-18,Croatian,produces,EAT,jesti,20,0.46
2023-04-18,Croatian,produces,EAT,jesti,21,0.45
2023-04-18,Croatian,produces,EAT,jesti,22,0.46
2023-04-18,Croatian,produces,EAT,jesti,23,0.65
2023-04-18,Croatian,produces,EAT,jesti,24,0.8
2023-04-18,Croatian,produces,EAT,jesti,25,0.7
2023-04-18,Croatian,produces,EAT,jesti,26,0.79
2023-04-18,Croatian,produces,EAT,jesti,27,0.88
2023-04-18,Croatian,produces,EAT,jesti,28,0.86
2023-04-18,Croatian,produces,EAT,jesti,29,0.89
2023-04-18,Croatian,produces,EAT,jesti,30,0.93
2023-04-18,Danish,produces,EAT,spise,8,0
2023-04-18,Danish,produces,EAT,spise,9,0
2023-04-18,Danish,produces,EAT,spise,10,0
2023-04-18,Danish,produces,EAT,spise,11,0
2023-04-18,Danish,produces,EAT,spise,12,0.01
2023-04-18,Danish,produces,EAT,spise,13,0
2023-04-18,Danish,produces,EAT,spise,14,0.02
2023-04-18,Danish,produces,EAT,spise,15,0.02
2023-04-18,Danish,produces,EAT,spise,16,0.05
2023-04-18,Danish,produces,EAT,spise,17,0.08
2023-04-18,Danish,produces,EAT,spise,18,0.16
2023-04-18,Danish,produces,EAT,spise,19,0.14
2023-04-18,Danish,produces,EAT,spise,20,0.35
2023-04-18,Danish,produces,EAT,spise,21,0.35
2023-04-18,Danish,produces,EAT,spise,22,0.53
2023-04-18,Danish,produces,EAT,spise,23,0.54
2023-04-18,Danish,produces,EAT,spise,24,0.7
2023-04-18,Danish,produces,EAT,spise,25,0.73
2023-04-18,Danish,produces,EAT,spise,26,0.82
2023-04-18,Danish,produces,EAT,spise,27,0.88
2023-04-18,Danish,produces,EAT,spise,28,0.86
2023-04-18,Danish,produces,EAT,spise,29,0.88
2023-04-18,Danish,produces,EAT,spise,30,0.93
2023-04-18,Danish,produces,EAT,spise,31,0.96
2023-04-18,Danish,produces,EAT,spise,32,0.98
2023-04-18,Danish,produces,EAT,spise,33,0.96
2023-04-18,Danish,produces,EAT,spise,34,0.99
2023-04-18,Danish,produces,EAT,spise,35,1
2023-04-18,Danish,produces,EAT,spise,36,0.99
2023-04-18,English (American),produces,EAT,eat,8,0.02
2023-04-18,English (American),produces,EAT,eat,9,0.01
2023-04-18,English (American),produces,EAT,eat,10,0.01
2023-04-18,English (American),produces,EAT,eat,11,0.04
2023-04-18,English (American),produces,EAT,eat,12,0.05
2023-04-18,English (American),produces,EAT,eat,13,0.07
2023-04-18,English (American),produces,EAT,eat,14,0.09
2023-04-18,English (American),produces,EAT,eat,15,0.14
2023-04-18,English (American),produces,EAT,eat,16,0.16
2023-04-18,English (American),produces,EAT,eat,17,0.21
2023-04-18,English (American),produces,EAT,eat,18,0.3
2023-04-18,English (American),produces,EAT,eat,19,0.47
2023-04-18,English (American),produces,EAT,eat,20,0.47
2023-04-18,English (American),produces,EAT,eat,21,0.55
2023-04-18,English (American),produces,EAT,eat,22,0.66
2023-04-18,English (American),produces,EAT,eat,23,0.68
2023-04-18,English (American),produces,EAT,eat,24,0.74
2023-04-18,English (American),produces,EAT,eat,25,0.83
2023-04-18,English (American),produces,EAT,eat,26,0.82
2023-04-18,English (American),produces,EAT,eat,27,0.86
2023-04-18,English (American),produces,EAT,eat,28,0.94
2023-04-18,English (American),produces,EAT,eat,29,0.89
2023-04-18,English (American),produces,EAT,eat,30,0.89
2023-04-18,French (Quebecois),produces,EAT,manger,8,0
2023-04-18,French (Quebecois),produces,EAT,manger,9,0
2023-04-18,French (Quebecois),produces,EAT,manger,10,0
2023-04-18,French (Quebecois),produces,EAT,manger,11,0
2023-04-18,French (Quebecois),produces,EAT,manger,12,0.01
2023-04-18,French (Quebecois),produces,EAT,manger,13,0.01
2023-04-18,French (Quebecois),produces,EAT,manger,14,0
2023-04-18,French (Quebecois),produces,EAT,manger,15,0.06
2023-04-18,French (Quebecois),produces,EAT,manger,16,0.06
2023-04-18,French (Quebecois),produces,EAT,manger,17,0.19
2023-04-18,French (Quebecois),produces,EAT,manger,18,0.24
2023-04-18,French (Quebecois),produces,EAT,manger,19,0.35
2023-04-18,French (Quebecois),produces,EAT,manger,20,0.45
2023-04-18,French (Quebecois),produces,EAT,manger,21,0.58
2023-04-18,French (Quebecois),produces,EAT,manger,22,0.59
2023-04-18,French (Quebecois),produces,EAT,manger,23,0.78
2023-04-18,French (Quebecois),produces,EAT,manger,24,0.73
2023-04-18,French (Quebecois),produces,EAT,manger,25,0.8
2023-04-18,French (Quebecois),produces,EAT,manger,26,0.84
2023-04-18,French (Quebecois),produces,EAT,manger,27,0.92
2023-04-18,French (Quebecois),produces,EAT,manger,28,0.92
2023-04-18,French (Quebecois),produces,EAT,manger,29,0.98
2023-04-18,French (Quebecois),produces,EAT,manger,30,0.84
2023-04-18,German,produces,EAT,essen,18,0.25
2023-04-18,German,produces,EAT,essen,19,0.32
2023-04-18,German,produces,EAT,essen,20,0.3
2023-04-18,German,produces,EAT,essen,21,0.45
2023-04-18,German,produces,EAT,essen,22,0.56
2023-04-18,German,produces,EAT,essen,23,0.71
2023-04-18,German,produces,EAT,essen,24,0.7
2023-04-18,German,produces,EAT,essen,25,0.72
2023-04-18,German,produces,EAT,essen,26,0.85
2023-04-18,German,produces,EAT,essen,27,0.82
2023-04-18,German,produces,EAT,essen,28,0.91
2023-04-18,German,produces,EAT,essen,29,0.9
2023-04-18,German,produces,EAT,essen,30,0.96
2023-04-18,Hebrew,produces,EAT,לאכול,11,0
2023-04-18,Hebrew,produces,EAT,לאכול,12,0
2023-04-18,Hebrew,produces,EAT,לאכול,13,0.25
2023-04-18,Hebrew,produces,EAT,לאכול,14,0
2023-04-18,Hebrew,produces,EAT,לאכול,15,0
2023-04-18,Hebrew,produces,EAT,לאכול,16,0.17
2023-04-18,Hebrew,produces,EAT,לאכול,17,0
2023-04-18,Hebrew,produces,EAT,לאכול,19,0.5
2023-04-18,Hebrew,produces,EAT,לאכול,20,0.44
2023-04-18,Hebrew,produces,EAT,לאכול,21,0.75
2023-04-18,Hebrew,produces,EAT,לאכול,22,1
2023-04-18,Hebrew,produces,EAT,לאכול,23,0.57
2023-04-18,Hebrew,produces,EAT,לאכול,24,0.82
2023-04-18,Hebrew,produces,EAT,לאכול,25,0.86
2023-04-18,Hebrew,produces,EAT,לאכול,26,0.89
2023-04-18,Hebrew,produces,EAT,לאכול,27,0.9
2023-04-18,Hebrew,produces,EAT,לאכול,28,0.91
2023-04-18,Hebrew,produces,EAT,לאכול,29,0.98
2023-04-18,Hebrew,produces,EAT,לאכול,30,0.89
2023-04-18,Hebrew,produces,EAT,לאכול,31,0.97
2023-04-18,Hebrew,produces,EAT,לאכול,32,0.97
2023-04-18,Hebrew,produces,EAT,לאכול,33,0.9
2023-04-18,Hebrew,produces,EAT,לאכול,34,0.96
2023-04-18,Hebrew,produces,EAT,לאכול,35,0.78
2023-04-18,Hebrew,produces,EAT,לאכול,36,0.8
2023-04-18,Italian,produces,EAT,mangiare,7,0
2023-04-18,Italian,produces,EAT,mangiare,8,0
2023-04-18,Italian,produces,EAT,mangiare,9,0.03
2023-04-18,Italian,produces,EAT,mangiare,10,0
2023-04-18,Italian,produces,EAT,mangiare,11,0
2023-04-18,Italian,produces,EAT,mangiare,12,0
2023-04-18,Italian,produces,EAT,mangiare,13,0
2023-04-18,Italian,produces,EAT,mangiare,14,0.03
2023-04-18,Italian,produces,EAT,mangiare,15,0.03
2023-04-18,Italian,produces,EAT,mangiare,16,0
2023-04-18,Italian,produces,EAT,mangiare,17,0.12
2023-04-18,Italian,produces,EAT,mangiare,18,0.16
2023-04-18,Italian,produces,EAT,mangiare,19,0.16
2023-04-18,Italian,produces,EAT,mangiare,20,0.18
2023-04-18,Italian,produces,EAT,mangiare,21,0.33
2023-04-18,Italian,produces,EAT,mangiare,22,0.44
2023-04-18,Italian,produces,EAT,mangiare,23,0.59
2023-04-18,Italian,produces,EAT,mangiare,24,0.66
2023-04-18,Italian,produces,EAT,mangiare,25,0.79
2023-04-18,Italian,produces,EAT,mangiare,26,0.78
2023-04-18,Italian,produces,EAT,mangiare,27,0.74
2023-04-18,Italian,produces,EAT,mangiare,28,0.86
2023-04-18,Italian,produces,EAT,mangiare,29,0.86
2023-04-18,Italian,produces,EAT,mangiare,30,0.91
2023-04-18,Italian,produces,EAT,mangiare,31,0.84
2023-04-18,Italian,produces,EAT,mangiare,32,0.91
2023-04-18,Italian,produces,EAT,mangiare,33,1
2023-04-18,Italian,produces,EAT,mangiare,34,1
2023-04-18,Italian,produces,EAT,mangiare,35,0.93
2023-04-18,Italian,produces,EAT,mangiare,36,0.86
2023-04-18,Mandarin (Beijing),produces,EAT,"吃, 吃饭",12,0.02
2023-04-18,Mandarin (Beijing),produces,EAT,"吃, 吃饭",13,0.07
2023-04-18,Mandarin (Beijing),produces,EAT,"吃, 吃饭",14,0.03
2023-04-18,Mandarin (Beijing),produces,EAT,"吃, 吃饭",15,0.11
2023-04-18,Mandarin (Beijing),produces,EAT,"吃, 吃饭",16,0.23
2023-04-18,Mandarin (Beijing),produces,EAT,"吃饭, 后, 吃",17,0.42
2023-04-18,Mandarin (Beijing),produces,EAT,"吃饭, 后, 吃",18,0.48
2023-04-18,Mandarin (Beijing),produces,EAT,"吃饭, 后, 吃",19,0.52
2023-04-18,Mandarin (Beijing),produces,EAT,"吃饭, 后, 吃",20,0.63
2023-04-18,Mandarin (Beijing),produces,EAT,"吃饭, 后, 吃",21,0.69
2023-04-18,Mandarin (Beijing),produces,EAT,"吃饭, 后, 吃",22,0.74
2023-04-18,Mandarin (Beijing),produces,EAT,"吃饭, 后, 吃",23,0.8
2023-04-18,Mandarin (Beijing),produces,EAT,"吃饭, 后, 吃",24,0.8
2023-04-18,Mandarin (Beijing),produces,EAT,"吃饭, 后, 吃",25,0.83
2023-04-18,Mandarin (Beijing),produces,EAT,"吃饭, 后, 吃",26,0.85
2023-04-18,Mandarin (Beijing),produces,EAT,"吃饭, 后, 吃",27,0.87
