downloaded,language,measure,uni_lemma,words,age,prop
2023-04-18,Cantonese,produces,FOOD,嘢食,16,0.2
2023-04-18,Cantonese,produces,FOOD,嘢食,17,0.21
2023-04-18,Cantonese,produces,FOOD,嘢食,18,0.09
2023-04-18,Cantonese,produces,FOOD,嘢食,19,0.15
2023-04-18,Cantonese,produces,FOOD,嘢食,20,0.27
2023-04-18,Cantonese,produces,FOOD,嘢食,21,0.34
2023-04-18,Cantonese,produces,FOOD,嘢食,22,0.26
2023-04-18,Cantonese,produces,FOOD,嘢食,23,0.32
2023-04-18,Cantonese,produces,FOOD,嘢食,24,0.44
2023-04-18,Cantonese,produces,FOOD,嘢食,25,0.54
2023-04-18,Cantonese,produces,FOOD,嘢食,26,0.5
2023-04-18,Cantonese,produces,FOOD,嘢食,27,0.47
2023-04-18,Cantonese,produces,FOOD,嘢食,28,0.67
2023-04-18,Cantonese,produces,FOOD,嘢食,29,0.71
2023-04-18,Cantonese,produces,FOOD,嘢食,30,0.77
2023-04-18,Croatian,produces,FOOD,hrana,8,0
2023-04-18,Croatian,produces,FOOD,hrana,9,0
2023-04-18,Croatian,produces,FOOD,hrana,10,0
2023-04-18,Croatian,produces,FOOD,hrana,11,0
2023-04-18,Croatian,produces,FOOD,hrana,12,0
2023-04-18,Croatian,produces,FOOD,hrana,13,0.06
2023-04-18,Croatian,produces,FOOD,hrana,14,0.07
2023-04-18,Croatian,produces,FOOD,hrana,15,0.04
2023-04-18,Croatian,produces,FOOD,hrana,16,0.09
2023-04-18,Croatian,produces,FOOD,hrana,17,0.04
2023-04-18,Croatian,produces,FOOD,hrana,18,0.05
2023-04-18,Croatian,produces,FOOD,hrana,19,0
2023-04-18,Croatian,produces,FOOD,hrana,20,0.04
2023-04-18,Croatian,produces,FOOD,hrana,21,0.07
2023-04-18,Croatian,produces,FOOD,hrana,22,0.21
2023-04-18,Croatian,produces,FOOD,hrana,23,0.19
2023-04-18,Croatian,produces,FOOD,hrana,24,0.4
2023-04-18,Croatian,produces,FOOD,hrana,25,0.2
2023-04-18,Croatian,produces,FOOD,hrana,26,0.14
2023-04-18,Croatian,produces,FOOD,hrana,27,0.32
2023-04-18,Croatian,produces,FOOD,hrana,28,0.43
2023-04-18,Croatian,produces,FOOD,hrana,29,0.32
2023-04-18,Croatian,produces,FOOD,hrana,30,0.43
2023-04-18,Danish,produces,FOOD,mad,8,0.01
2023-04-18,Danish,produces,FOOD,mad,9,0.02
2023-04-18,Danish,produces,FOOD,mad,10,0.05
2023-04-18,Danish,produces,FOOD,mad,11,0.1
