downloaded,language,measure,uni_lemma,words,age,prop
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,16,0.83
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,17,0.89
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,18,0.85
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,19,0.86
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,20,0.97
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,21,0.98
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,22,0.96
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,23,0.96
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,24,0.97
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,25,1
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,26,1
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,27,1
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,28,0.98
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,29,1
2023-04-18,Cantonese,produces,MOMMY,媽媽/媽咪,30,1
2023-04-18,Croatian,produces,MOMMY,mama,8,0.17
2023-04-18,Croatian,produces,MOMMY,mama,9,0.2
2023-04-18,Croatian,produces,MOMMY,mama,10,0.55
2023-04-18,Croatian,produces,MOMMY,mama,11,0.68
2023-04-18,Croatian,produces,MOMMY,mama,12,0.6
2023-04-18,Croatian,produces,MOMMY,mama,13,0.62
2023-04-18,Croatian,produces,MOMMY,mama,14,0.57
2023-04-18,Croatian,produces,MOMMY,mama,15,0.58
2023-04-18,Croatian,produces,MOMMY,mama,16,0.83
2023-04-18,Croatian,produces,MOMMY,mama,17,0.92
2023-04-18,Croatian,produces,MOMMY,mama,18,0.95
2023-04-18,Croatian,produces,MOMMY,mama,19,0.95
2023-04-18,Croatian,produces,MOMMY,mama,20,1
2023-04-18,Croatian,produces,MOMMY,mama,21,0.97
2023-04-18,Croatian,produces,MOMMY,mama,22,0.92
2023-04-18,Croatian,produces,MOMMY,mama,23,1
2023-04-18,Croatian,produces,MOMMY,mama,24,0.93
2023-04-18,Croatian,produces,MOMMY,mama,25,1
2023-04-18,Croatian,produces,MOMMY,mama,26,0.97
2023-04-18,Croatian,produces,MOMMY,mama,27,1
2023-04-18,Croatian,produces,MOMMY,mama,28,1
2023-04-18,Croatian,produces,MOMMY,mama,29,1
2023-04-18,Croatian,produces,MOMMY,mama,30,1
2023-04-18,Danish,produces,MOMMY,mor,8,0.03
2023-04-18,Danish,produces,MOMMY,mor,9,0.02
2023-04-18,Danish,produces,MOMMY,mor,10,0.04
2023-04-18,Danish,produces,MOMMY,mor,11,0.1
2023-04-18,Danish,produces,MOMMY,mor,12,0.14
2023-04-18,Danish,produces,MOMMY,mor,13,0.24
2023-04-18,Danish,produces,MOMMY,mor,14,0.3
2023-04-18,Danish,produces,MOMMY,mor,15,0.34
2023-04-18,Danish,produces,MOMMY,mor,16,0.52
2023-04-18,Danish,produces,MOMMY,mor,17,0.64
2023-04-18,Danish,produces,MOMMY,mor,18,0.75
2023-04-18,Danish,produces,MOMMY,mor,19,0.78
2023-04-18,Danish,produces,MOMMY,mor,20,0.87
2023-04-18,Danish,produces,MOMMY,mor,21,0.89
2023-04-18,Danish,produces,MOMMY,mor,22,0.96
2023-04-18,Danish,produces,MOMMY,mor,23,0.95
2023-04-18,Danish,produces,MOMMY,mor,24,0.96
2023-04-18,Danish,produces,MOMMY,mor,25,0.96
2023-04-18,Danish,produces,MOMMY,mor,26,0.99
2023-04-18,Danish,produces,MOMMY,mor,27,0.98
2023-04-18,Danish,produces,MOMMY,mor,28,0.97
2023-04-18,Danish,produces,MOMMY,mor,29,0.99
2023-04-18,Danish,produces,MOMMY,mor,30,0.99
2023-04-18,Danish,produces,MOMMY,mor,31,0.99
2023-04-18,Danish,produces,MOMMY,mor,32,0.99
2023-04-18,Danish,produces,MOMMY,mor,33,0.99
2023-04-18,Danish,produces,MOMMY,mor,34,1
2023-04-18,Danish,produces,MOMMY,mor,35,1
2023-04-18,Danish,produces,MOMMY,mor,36,0.99
