"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","sex","n","first_administration","is_norming","monolingual","typically_developing"
2023-04-18,"Korean","WS","WS",72097,62940,18,"production",49,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72098,62941,18,"production",9,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72099,62942,18,"production",12,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72142,62985,18,"production",12,"Male",571,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72184,63027,18,"production",40,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72185,63028,18,"production",13,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72234,63077,18,"production",88,"Male",571,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72235,63078,18,"production",9,"Male",571,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72281,63124,18,"production",35,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72282,63125,18,"production",192,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72283,63126,18,"production",31,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72284,63127,18,"production",131,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72285,63128,18,"production",5,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72286,63129,18,"production",76,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72287,63130,18,"production",16,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72288,63131,18,"production",26,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72289,63132,18,"production",152,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72290,63133,18,"production",21,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72291,63134,18,"production",245,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72292,63135,18,"production",4,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72293,63136,18,"production",210,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72428,63271,18,"production",4,"Male",571,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72429,63272,18,"production",125,"Male",571,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72430,63273,18,"production",5,"Male",571,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72431,63274,18,"production",52,"Male",571,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72432,63275,18,"production",176,"Male",571,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72433,63276,18,"production",107,"Male",571,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72434,63277,18,"production",68,"Male",571,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72576,63419,18,"production",218,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72577,63420,18,"production",3,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72578,63421,18,"production",11,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72579,63422,18,"production",155,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72580,63423,18,"production",142,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72581,63424,18,"production",5,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72582,63425,18,"production",22,"Female",566,TRUE,TRUE,TRUE,TRUE
2023-04-18,"Korean","WS","WS",72737,63580,18,"production",77,"Male",571,TRUE,TRUE,TRUE,TRUE
